symbol,exchange,shares_outstanding,public_float,short_interest_date,shares_sold_short,change_from_last,percent_of_float
ADT,NYSE,761100000.0,141110000.0,12/31/20,17390000.0,-3.49,12.32
ADTN,NASDAQ,47960000.0,47120000.0,12/31/20,1320000.0,35.4,2.8
ADTX,NASDAQ,12280000.0,9380000.0,12/31/20,499529.0,-35.31,5.32
ADUS,NASDAQ,15810000.0,15570000.0,12/31/20,262363.0,27.07,1.68
ADV,NASDAQ,318430000.0,318130000.0,12/31/20,6340000.0,60.77,1.99
ADVM,NASDAQ,97480000.0,74260000.0,12/31/20,10270000.0,-13.04,13.83
ADX,NYSE,108730000.0,,12/31/20,620277.0,-2.29,
ADXN,NASDAQ,5470000.0,,12/31/20,48687.0,639.92,
ADXS,NASDAQ,92890000.0,64280000.0,12/31/20,1240000.0,408.04,1.93
AE,AMEX,4240000.0,2170000.0,12/31/20,18088.0,5.0,0.83
AEACU,NASDAQ,20000000.0,,,,,
AEB,NYSE,,,12/31/20,17259.0,25.4,
AEE,NYSE,247210000.0,245570000.0,12/31/20,5620000.0,-21.19,2.29
AEF,AMEX,50750000.0,,12/31/20,16168.0,-13.3,
AEFC,NYSE,,,12/31/20,6874.0,-48.81,
AEG,NYSE,,2040000000.0,12/31/20,2930000.0,9.83,0.14
AEGN,NASDAQ,30770000.0,29690000.0,12/31/20,787314.0,9.36,2.65
AEHL,NASDAQ,2670000.0,1920000.0,12/31/20,79002.0,-38.21,4.1
AEHR,NASDAQ,23310000.0,19770000.0,12/31/20,80603.0,-55.26,0.41
AEIS,NASDAQ,38330000.0,37780000.0,12/31/20,1120000.0,8.25,2.96
AEL,NYSE,91980000.0,81220000.0,12/31/20,2830000.0,-16.24,3.48
AEL.PRA,NYSE,,,12/31/20,6126.0,-24.46,
AEL.PRB,NYSE,12000000.0,,12/31/20,18125.0,7.88,
AEM,NYSE,242990000.0,242230000.0,12/31/20,1840000.0,13.62,0.76
AEMD,NASDAQ,12090000.0,11750000.0,12/31/20,576211.0,25.92,4.9
AENZ,NYSE,,,12/31/20,1565.0,-78.9,
AEO,NYSE,166180000.0,150420000.0,12/31/20,24120000.0,7.89,16.03
AEP,NASDAQ,496390000.0,496080000.0,12/31/20,7950000.0,30.27,1.6
AEPPL,NASDAQ,,,12/31/20,713484.0,23.05,
AEPPZ,NASDAQ,17000000.0,,12/31/20,125070.0,3.33,
AER,NYSE,129759999.0,125530000.0,12/31/20,3320000.0,35.56,2.65
AERI,NASDAQ,46810000.0,45010000.0,12/31/20,5850000.0,3.77,13.01
AES,NYSE,665130000.0,663240000.0,12/31/20,12670000.0,37.07,1.91
AESE,NASDAQ,39140000.0,16820000.0,12/31/20,347616.0,-15.07,2.07
AEY,NASDAQ,12030000.0,5930000.0,12/31/20,368859.0,-3.47,6.22
AEYE,NASDAQ,10020000.0,4440000.0,12/31/20,186874.0,-39.83,4.21
AEZS,NASDAQ,62680000.0,58740000.0,12/31/20,2340000.0,23.84,3.98
AFB,NYSE,28740000.0,,12/31/20,4955.0,99.08,
AFC,NYSE,,,12/31/20,1020.0,-62.07,
AFG,NYSE,86840000.0,74930000.0,12/31/20,469492.0,-43.24,0.63
AFGB,NYSE,,,12/31/20,24034.0,132.8,
AFGC,NYSE,,,12/31/20,2133.0,6.6,
AFGD,NYSE,6000000.0,,12/31/20,59531.0,149.49,
AFGE,NYSE,8000000.0,,12/31/20,96288.0,2.05,
AFI,NYSE,21630000.0,20640000.0,12/31/20,468342.0,8.06,2.27
AFIB,NASDAQ,27850000.0,20770000.0,12/31/20,2550000.0,-0.86,12.26
AFIN,NASDAQ,108530000.0,108330000.0,12/31/20,3480000.0,3.18,3.21
AFINO,NASDAQ,3540000.0,,12/31/20,10822.0,,
AFINP,NASDAQ,7720000.0,,12/31/20,12483.0,-15.31,
AFK,ARCA,2600000.0,,12/31/20,39727.0,-19.0,
AFL,NYSE,702450000.0,644070000.0,12/31/20,6340000.0,-30.38,0.98
AFLG,ARCA,100002.0,,12/31/20,10756.0,36.43,
AFMC,ARCA,150002.0,,12/31/20,666.0,-11.55,
AFMD,NASDAQ,114790000.0,103220000.0,12/31/20,6160000.0,4.73,5.97
AFRM,NASDAQ,121350000.0,93670000.0,,,,
AFSM,ARCA,,,12/31/20,110.0,-25.17,
AFT,NYSE,,,12/31/20,44146.0,62.85,
AFTY,ARCA,455882.0,,12/31/20,13416.0,-16.81,
AFYA,NASDAQ,45170000.0,36490000.0,12/31/20,828692.0,2.65,2.27
AG,NYSE,221240000.0,196580000.0,12/31/20,46990000.0,7.38,23.9
AGBA,NASDAQ,,4600000.0,12/31/20,940.0,476.69,0.02
AGBAR,NASDAQ,,,12/31/20,4858.0,255.38,
AGBAU,NASDAQ,,,12/15/20,5.0,-50.0,
AGC,NASDAQ,50000000.0,,12/31/20,99119.0,98.29,
AGCB,NYSE,45000000.0,,,,,
AGCO,NYSE,74900000.0,61180000.0,12/31/20,1070000.0,-15.21,1.74
AGCUU,NASDAQ,50000000.0,,12/31/20,156140.0,-1.02,
AGD,NYSE,,,12/31/20,25983.0,198.55,
AGE,AMEX,37690000.0,21150000.0,12/31/20,430302.0,-52.3,2.03
AGEN,NASDAQ,190150000.0,158670000.0,12/31/20,24530000.0,12.96,15.46
AGFS,NASDAQ,52880000.0,51980000.0,12/31/20,713458.0,10.88,1.37
AGG,ARCA,729600000.0,,12/31/20,28670000.0,14.98,
AGGP,ARCA,1150000.0,,12/15/20,2526.0,2871.76,
AGGY,ARCA,22300000.0,,12/31/20,94714.0,-72.5,
AGI,NYSE,392700000.0,382490000.0,12/31/20,2140000.0,-26.23,0.56
AGIO,NASDAQ,69110000.0,61450000.0,12/31/20,5840000.0,7.51,9.51
AGLE,NASDAQ,44600000.0,40330000.0,12/31/20,1840000.0,4.63,4.57
AGM,NYSE,9200000.0,8970000.0,12/31/20,153529.0,61.84,1.71
AGM.A,NYSE,1030000.0,949280.0,12/31/20,2161.0,128.19,0.23
AGM.PRC,NYSE,,,12/31/20,52.0,-95.13,
AGM.PRD,NYSE,,,12/31/20,4537.0,10451.16,
AGM.PRE,NYSE,3180000.0,,12/31/20,2077.0,0.05,
AGM.PRF,NYSE,4800000.0,,12/31/20,26375.0,62.03,
AGMH,NASDAQ,21830000.0,8930000.0,12/31/20,8972.0,200.27,0.1
AGNC,NASDAQ,545210000.0,541570000.0,12/31/20,8020000.0,-31.26,1.48
AGNCM,NASDAQ,,,12/31/20,228439.0,2.46,
AGNCN,NASDAQ,,,12/31/20,23937.0,-24.67,
AGNCO,NASDAQ,,,12/31/20,521236.0,-2.22,
AGNCP,NASDAQ,23000000.0,,12/31/20,279138.0,0.26,
AGO,NYSE,80810000.0,76820000.0,12/31/20,5970000.0,-10.95,7.78
AGO.PRB,NYSE,,,12/31/20,3801.0,51.25,
AGO.PRE,NYSE,,,12/31/20,3391.0,-58.87,
AGO.PRF,NYSE,,,12/31/20,3458.0,68.35,
AGQ,ARCA,14700000.0,,12/31/20,56847.0,-40.12,
AGR,NYSE,309010000.0,56700000.0,12/31/20,2560000.0,-5.37,4.51
AGRO,NYSE,118190000.0,118190000.0,12/31/20,477269.0,-19.09,0.4
AGRX,NASDAQ,87600000.0,78970000.0,12/31/20,2990000.0,-11.74,3.79
AGS,NYSE,35770000.0,27080000.0,12/31/20,938486.0,-60.84,3.47
AGTC,NASDAQ,25890000.0,21600000.0,12/31/20,1070000.0,4.51,4.95
AGX,NYSE,15690000.0,14950000.0,12/31/20,257237.0,37.05,1.72
AGYS,NASDAQ,23590000.0,21740000.0,12/31/20,657452.0,-5.51,3.02
AGZ,ARCA,6750000.0,,12/31/20,135864.0,13.41,
AGZD,NASDAQ,1700000.0,,12/15/20,,,
AHAC,NASDAQ,10360000.0,,12/31/20,,,
AHACU,NASDAQ,10360000.0,,12/31/20,2996.0,26.73,
AHC,NYSE,18940000.0,18380000.0,12/31/20,13856.0,-1.77,0.08
AHCO,NASDAQ,95680000.0,60670000.0,12/31/20,1150000.0,21.31,1.9
AHH,NYSE,57930000.0,56840000.0,12/31/20,598200.0,28.59,1.05
AHH.PRA,NYSE,9980000.0,,12/31/20,11099.0,-25.06,
AHL.PRC,NYSE,,,12/31/20,3468.0,336.23,
AHL.PRD,NYSE,,,12/31/20,34536.0,51.2,
AHL.PRE,NYSE,,,12/31/20,26730.0,46.31,
AHPI,NASDAQ,4010000.0,3050000.0,12/31/20,349163.0,-15.07,11.44
AHT,NYSE,53210000.0,49520000.0,12/31/20,2730000.0,18.46,5.51
AHT.PRD,NYSE,1810000.0,,12/31/20,26023.0,216.27,
AHT.PRF,NYSE,3050000.0,,12/31/20,1066.0,-23.53,
AHT.PRG,NYSE,4540000.0,,12/31/20,26318.0,440.97,
AHT.PRH,NYSE,2770000.0,,12/31/20,1344.0,-61.43,
AHT.PRI,NYSE,3540000.0,,12/31/20,1123.0,-81.43,
AI,NYSE,92350000.0,43660000.0,12/31/20,4030000.0,90.48,9.23
AIA,NASDAQ,31250000.0,,12/31/20,253321.0,-24.07,
AIC,NYSE,,,12/31/20,430.0,313.46,
AIEQ,ARCA,3230000.0,,12/31/20,3080.0,-80.06,
AIF,NYSE,,,12/31/20,44384.0,51.12,
AIG,NYSE,861430000.0,860710000.0,12/31/20,10960000.0,-21.47,1.27
AIG.PRA,NYSE,,,12/31/20,14629.0,83.67,
AIH,NASDAQ,23610000.0,20780000.0,12/31/20,87130.0,96.53,0.42
AIHS,NASDAQ,43700000.0,29360000.0,12/31/20,44798.0,3.62,0.15
AIIQ,ARCA,200000.0,,12/31/20,9866.0,-1.29,
AIKI,NASDAQ,34920000.0,34900000.0,12/31/20,760758.0,10.07,2.18
AIM,AMEX,40690000.0,40230000.0,12/31/20,2610000.0,5.76,6.48
AIMC,NASDAQ,64709999.0,64129999.0,12/31/20,1100000.0,32.64,1.72
AIN,NYSE,30700000.0,30450000.0,12/31/20,640906.0,4.5,2.1
AINC,AMEX,2540000.0,1190000.0,12/31/20,27501.0,42.18,2.3
AINV,NASDAQ,65260000.0,,12/31/20,2710000.0,-4.15,
AIO,NYSE,34320000.0,,12/31/20,40052.0,25.91,
AIQ,NASDAQ,5650000.0,,12/31/20,20673.0,-70.26,
AIR,NYSE,35300000.0,33409999.0,12/31/20,1300000.0,-13.07,3.89
AIRC,NYSE,148870000.0,,12/31/20,4690000.0,-2.84,
AIRG,NASDAQ,9770000.0,9260000.0,12/31/20,516175.0,-4.16,5.58
AIRI,AMEX,31730000.0,23970000.0,12/31/20,45873.0,1827.44,0.19
AIRR,NASDAQ,2300000.0,,12/31/20,48723.0,50.37,
AIRT,NASDAQ,2880000.0,591967.0,12/31/20,22730.0,184.77,3.84
AIRTP,NASDAQ,840000.0,,12/31/20,5269.0,118.72,
AIT,NYSE,38760000.0,38170000.0,12/31/20,504061.0,10.85,1.32
AIV,NYSE,148870000.0,146880000.0,12/31/20,13240000.0,38.96,9.01
AIW,NYSE,,,12/31/20,1100.0,-1.96,
AIZ,NYSE,59650000.0,58710000.0,12/31/20,1660000.0,1.48,2.84
AIZN,NYSE,10000000.0,,12/31/20,44343.0,-74.3,
AIZP,NYSE,,,12/31/20,10146.0,2.88,
AJAX,NYSE,80500000.0,,12/31/20,529240.0,,
AJG,NYSE,192320000.0,190280000.0,12/31/20,1480000.0,6.5,0.78
AJRD,NYSE,77280000.0,75220000.0,12/31/20,5640000.0,5.82,7.5
AJX,NYSE,22930000.0,20620000.0,12/31/20,306288.0,0.02,1.49
AJXA,NYSE,4630000.0,,12/31/20,1583.0,8.35,
AKAM,NASDAQ,162790000.0,159900000.0,12/31/20,10260000.0,3.51,6.42
AKBA,NASDAQ,144540000.0,140180000.0,12/31/20,28680000.0,20.84,20.46
AKER,NASDAQ,8860000.0,8109999.0,12/31/20,656200.0,8.38,8.09
AKICU,NASDAQ,23660000.0,,,,,
AKO.A,NYSE,,,12/31/20,4287.0,-59.74,
AKO.B,NYSE,,,12/31/20,11140.0,-36.68,
AKR,NYSE,86270000.0,85590000.0,12/31/20,2150000.0,0.95,2.51
AKRO,NASDAQ,34720000.0,19080000.0,12/31/20,2530000.0,32.51,13.26
AKTS,NASDAQ,38630000.0,35100000.0,12/31/20,8590000.0,2.11,24.48
AKTX,NASDAQ,33460000.0,33409999.0,12/31/20,172046.0,10.79,0.51
